,sustainability_score,company,Environment_Category 0,Environment_Category 1,Environment_Category 2,Environment_Category 3,Environment_Category 4,Environment_Category 5,Governance_Category 0,Governance_Category 1,Governance_Category 2,Governance_Category 3,Governance_Category 4,Governance_Category 5,Social_Category 0,Social_Category 1,Social_Category 2,Social_Category 3,Social_Category 4,Social_Category 5
213,4.775590731,CDK Global Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
214,3.262500953,CF Industries Holdings Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
215,14.3315403,CI Financial Corp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
216,81.92948108,CIMB Group Holdings Bhd,0,1,4,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0
217,38.17058562,CIMIC Group Limited,0,0,0,0,0,0,0,0,0,3,0,0,0,1,9,0,0,0
218,10.60018834,CIT Group Inc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
219,12.27258181,CITIC Securities Company Limited,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
220,0.573862235,CJ Corporation,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
221,11.89122421,CK Asset Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
222,4.315667138,CK Infrastructure Holdings Limited,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
223,61.75765572,CLP Holdings Limited,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0
224,72.89069375,CMS Energy Corp,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0
225,78.53603669,CNH Industrial NV,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,6,0,0
226,82.01880081,CNP Assurances SA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,91.92940026,CSL Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
228,0.936338039,CSPC Pharmaceutical Group Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
229,90.42915836,CSX Corp,0,0,0,0,0,0,0,1,0,0,0,0,1,0,21,1,0,0
230,83.91706075,"CTBC Financial Holding Co., Ltd.",0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0
